SKU;Price;Price Old;Quantity
33433;4179;4798;0
33042;6595;8000;0
32504;1365;1762;33
4935;3608;5070;5
33037;3366;4000;0
33255;4220;4800;0
33442;2417;3265;17
33453;1933;2392;0
33439;4792;5815;0
33467;7254;8800;0
33443;4012;4976;24
32950;2801;3665;5
33437;4914;6000;0
33254;1691;2291;0
33013;1440;1854;7
29463;2456;2852;0
33470;9628;13200;0
33464;5402;7104;5
7418;1983;2688;3
32323;4414;5396;0
32547;2346;3248;6
33448;5270;6977;12
33243;5226;6876;5
33462;5622;6800;0
12275;698;952;154
33445;2752;3512;6
33451;3337;4158;35
33431;8232;10000;0
33430;4309;4944;0
33469;1698;2000;0
33447;3515;4583;13
12278;1800;2463;142
33248;1701;2303;11
33015;4208;4800;0
33033;4368;5300;0
32554;3674;4414;0
33449;3815;4400;0
9703;1824;2283;0
33429;2336;2976;12
33465;4924;6000;0
32954;2059;2482;3
33454;3938;4491;12
33021;8227;10000;0
33471;9686;12261;0
32953;3990;5555;5
3505;1024;1348;2
33432;2110;2695;3
31132;5609;7430;15
24221;1110;1443;5
33444;4079;5440;11
12277;1882;2283;0
33022;2945;3614;0
31043;2279;2706;0
33472;7741;10600;0
33446;2693;3281;0
33436;5256;6363;2
32561;1582;2012;0
33441;2329;2982;3
31742;4194;4804;0
29462;3507;4335;8
33468;8227;10000;0
32558;1579;2195;19
9699;2368;3151;95
32537;3491;4021;0
11748;1167;1519;0
5689;1896;2299;0
12276;1197;1546;0
31741;2301;3030;13
32952;2329;2968;25
32555;3041;3967;21
33455;4953;6000;0
33459;2382;3063;41
29461;1524;1970;31
33474;7741;10600;0
33460;4392;5000;0
33452;6465;8936;1
7385;1277;1521;0
32459;947;1151;0
33457;2379;2986;19
33244;8723;12000;0
33463;4695;6659;3
33040;1684;2000;0
33438;3310;4120;9
32951;4953;6000;0
33456;4947;6000;0
33009;671;872;124
33434;3346;4358;18
33473;4066;5920;0
33435;7927;9600;0
9700;1450;1866;3
33450;7254;8800;0
32548;4250;5200;0
10842;622;776;0
33011;6590;8000;0
33458;1434;1846;0
33034;7908;9600;0
29468;2517;2952;0
33461;4983;6616;6
28660;1701;2080;0
33466;3056;3600;0
4915;3930;5062;0
32589;2916;4042;24
31063;967;1186;43
28687;1194;1428;0
24224;2009;2595;16
29482;2542;2995;15
26182;907;1220;122
4931;2193;2966;33
32559;3724;4587;22
32563;1608;1899;0
32569;2071;2637;24
5693;1567;2181;325
32564;4140;4718;0
31752;1208;1585;47
29487;1109;1501;130
7819;1706;1997;9
32137;1609;1893;0
3508;854;1106;44
29505;1961;2460;16
7814;957;1175;0
29531;3002;3605;13
29480;2485;3197;3
31081;2299;2705;0
29548;1110;1385;0
29469;1455;2045;14
32587;1430;2014;32
29512;1497;2078;28
29484;3000;3626;34
4928;1384;1785;0
29510;1820;2302;0
29495;1514;1930;13
32524;1381;2085;56
32573;2192;2816;5
9705;1446;2034;36
31121;1109;1419;63
31746;2262;2635;0
32505;771;929;111
12281;4156;4761;0
29481;922;1188;10
28689;1865;2288;75
32511;2774;3643;34
7457;1129;1523;24
29520;2041;2708;8
29549;1318;1568;0
4920;816;988;0
9704;963;1274;0
4930;1492;1880;11
32586;1527;1922;73
4921;1459;2127;0
26180;2896;3666;0
4919;1977;2478;0
29485;1332;1562;0
32584;2295;2927;9
32591;3617;4131;0
32525;2792;3654;0
31165;1892;2333;0
31084;6684;8171;0
3669;1767;2310;0
5692;810;985;0
31143;2535;3314;5
31754;2140;2516;0
29494;1348;1706;0
29521;1212;1449;0
31128;2413;3165;12
7401;1590;2183;0
29518;1410;1804;1
29519;1552;1831;0
32598;2940;3899;20
31085;1620;1900;0
26188;1826;2494;21
29496;1613;2141;9
31077;2543;3338;36
5695;2319;2699;0
29493;2456;3247;0
32574;1699;2166;29
32594;3953;4909;30
28690;3549;4415;0
31747;4339;5318;0
29474;1725;2005;0
32580;3190;3816;0
29516;1717;2362;142
26175;1611;1898;0
32571;3256;3831;0
31144;2312;2898;8
3533;1432;1705;238
32568;1596;2145;27
29472;1298;1528;0
26186;914;1122;307
32515;3184;3674;0
29477;2309;2936;16
3568;4279;4899;0
29478;3494;4349;6
12280;1814;2258;7
4927;1607;2026;0
26185;2370;2787;17
32319;1653;2259;30
28691;2847;3731;90
31054;1232;1686;14
32593;2121;2730;26
26174;1666;1959;0
32633;5416;7161;6
28710;780;920;0
31761;3516;4058;3
29609;2038;2574;6
7109;1258;1633;100
28697;1026;1354;28
31044;1873;2324;27
31770;5874;7143;0
31070;1768;2244;34
29623;1361;1757;2
31069;1945;2517;199
28705;2360;3101;22
32325;1129;1360;0
32617;2267;3114;8
29606;3007;3597;0
29637;2778;3648;18
32499;4169;5062;41
29610;1655;1947;31
29577;1372;1771;97
32532;3114;3657;24
29594;1626;1914;5
31047;3546;4400;12
28698;993;1342;0
32541;1959;2806;7
31097;1406;1812;125
32618;2499;3299;2
26194;991;1200;82
32138;2181;2824;57
32606;3753;4656;44
29564;2076;2670;19
29624;862;1055;0
10754;1302;1687;1793
28704;4282;5686;4
29587;2184;2806;2
31117;1705;2353;24
29597;2450;2882;0
32528;2875;3322;0
4939;2184;2675;0
29563;1050;1383;55
29569;1308;1695;495
29574;4265;4851;0
29571;1987;2662;40
29590;2103;2709;7
29607;3112;3654;0
31110;1924;2382;0
31773;1479;1753;0
4940;4486;5913;148
31113;2553;2993;0
29620;2742;3299;0
29630;2995;3900;2
32630;2998;3600;0
9707;2112;2719;1486
28703;2524;3722;7
32531;2656;3395;320
31079;1641;1910;6
32600;769;999;207
29547;2043;2580;14
32530;4649;5971;0
9708;680;919;243
29578;2702;3545;57
29618;1120;1469;3
32542;1885;2278;0
29585;1798;2240;0
32601;1483;1906;7
29570;2438;2825;62
24218;2909;3736;27
29632;1851;2300;0
32551;991;1311;218
29557;1346;1737;640
26195;1154;1383;0
29566;2806;3510;26
29581;2301;2892;11
31759;7428;10955;19
26190;1619;1905;0
29595;2309;3069;639
31071;1687;1988;72
31094;2721;3444;0
29558;1185;1508;232
31760;3128;3733;10
26189;2062;2536;0
26201;1392;1787;9
32529;1631;1924;0
29635;738;1008;193
29608;1062;1361;51
32613;1840;2406;34
31106;1539;1992;9
32621;1706;2151;0
32626;2232;2809;30
32615;2516;3331;40
26200;2012;2429;78
29627;4225;5618;27
32627;3386;4218;6
29614;931;1199;41
28709;460;592;0
31075;1238;1601;37
28695;1573;2095;0
32597;2645;3055;0
29604;1678;2275;13
26199;3330;3959;22
31074;1442;2029;11
3713;4099;5053;5
31791;1336;1588;0
8530;1077;1297;0
29640;3034;3863;12
32318;4338;4980;4
26208;1382;1749;0
32470;2850;3300;0
32468;1106;1443;714
31194;1773;2084;162
3665;2466;3174;0
32467;1563;1876;0
29643;1803;2246;0
29651;1475;1744;0
29664;899;1169;184
4007;2169;2488;28
24219;3956;4912;177
29641;2895;3420;0
29661;1284;1662;6
32478;501;640;0
31227;2054;2468;0
26210;1383;1750;0
4018;1742;2049;6
31196;1161;1408;131
3645;1981;2561;241
32475;2412;2796;18
3557;2196;2564;0
31786;3984;4573;0
28281;3892;5197;0
32328;919;1099;0
3653;1704;2171;0
31224;1964;2367;142
31206;1101;1336;19
31230;1599;1856;47
29638;857;1049;0
31223;825;1025;211
3734;2533;2957;18
29644;1496;1918;0
31226;2743;3388;0
26211;1113;1409;0
31197;1924;2241;83
32464;2956;3449;0
31222;3090;3777;0
31790;841;999;0
26209;1483;1758;0
26212;761;963;0
26213;761;927;0
9710;811;1086;525
3704;1629;1903;6
9642;2961;3485;234
3652;790;958;24
29513;2253;3042;8
31122;4036;5109;0
8254;4057;5002;11
26207;2575;3084;28
26205;1488;2213;0
31229;1698;1967;16
32466;4103;4724;0
32641;2329;2948;0
32638;4281;5210;0
3644;3688;4242;25
32477;50;104;0
31228;2153;2505;0
31234;2677;3068;0
28532;9253;12827;0
31191;909;1117;0
29659;2007;2540;0
32463;3169;3688;35
12283;2051;2718;421
32136;2070;2668;6
31195;1242;1500;39
12933;1560;1974;0
31103;1999;2329;0
32640;2643;3681;2
8257;5250;6430;33
32474;1199;1457;25
31232;2114;2508;0
31784;3200;3765;0
3577;1630;1919;12
31704;3330;3800;0
32461;6943;8499;3
3732;4953;6000;0
28280;4071;5588;26
3627;1197;1432;60
3733;4400;5413;0
29657;1064;1299;0
29639;1437;1702;0
31785;1547;2061;9
28531;9211;12769;0
31225;2883;3398;0
31124;3988;5048;0
29652;3830;4755;11
32462;6446;7903;7
31189;1014;1239;0
12934;1888;2390;0
32142;2613;3343;8
31221;3011;3689;0
9706;1419;1937;50
29650;2328;2981;0
31114;7173;9492;67
3654;1697;2164;359
29992;1103;1343;18
30636;1795;2123;0
29948;1321;1599;43
30068;2205;2602;4
30065;2804;3406;39
3865;7817;10850;0
27513;869;1092;0
28800;1334;1612;0
30886;1329;1585;2
29910;2394;2760;8
3867;7817;10850;0
29956;2186;2552;0
32149;2467;3260;16
33232;2899;3361;0
28799;867;1090;0
31381;1460;1732;48
33235;1214;1468;0
3817;3023;3439;0
26509;8650;11924;5
33230;886;1111;0
31185;2537;3069;44
30863;4057;4600;0
